feature,importance
base_industryphy_id,35.64669555357499
base_regcap,7.803627685320402
base_townsign,7.283558489587946
base_enttypegb,6.413654693703039
base_empnum,5.124307908291679
base_enttypeitem,4.367822140991203
base_jobid,4.095351235106546
base_venind,4.03093757452315
base_reccap,3.8956828345025323
base_enttype,3.454754996280819
base_orgid,3.38371233244563
base_oplocdistrict,3.10242063284195
base_compform,2.210189578699242
base_enttypeminu,2.1258264276855483
base_industryco,1.9815937048953216
base_regtype,1.6273388654506207
base_state,1.2735156613676586
base_protype,0.9937936213849969
base_exenum,0.5117610285799469
base_parnum,0.3600766670843016
base_adbusign,0.2821881895806417
base_forreccap,0.014871252222044742
base_forregcap,0.013788671185026238
base_congro,0.0025302546948204807
